url,product_title,vendeur,retrait,product_price,licence,Descriptif_produit,marque,GTIN,ref_EAN,etoile,etoile_qualite_prix
https://www.auchan.fr/mon-charcutier-jambon-superieur-cuit-au-torchon-decouenne-degraisse/pr-C1611059,Jambon supérieur cuit au torchon découenné dégraissé,,,,,,,,"24094,/,2030500240949",1.0,
https://www.auchan.fr/mon-patissier-buchette-versaillais-3-chocolats/pr-C1425487,Bûchette versaillais 3 chocolats,,,,,,,,"12965,/,2030500129657",,
https://www.auchan.fr/mon-charcutier-jambon-cuit-a-l-ancienne-avec-couenne-label-rouge/pr-C1602902,Jambon cuit à l'ancienne avec couenne Label rouge,,,,,,,,"782057,/,2030507820571",4.0,
https://www.auchan.fr/mon-patissier-buche-roulee-a-la-framboise/pr-C1364086,Bûche roulée à la framboise,,,,,,,,"647858,/,2030506478582",5.0,
https://www.auchan.fr/ocean-delices-verrines-aux-deux-saumons/pr-C1351925,Verrines aux deux saumons,,,,,,,,"790470,/,3760105176075,/,3254567904708",,
https://www.auchan.fr/auchan-lasagnes-a-la-bolognaise/pr-C1514392,Lasagnes à la bolognaise,,,,,,,,"960670,/,3596710496327",5.0,
https://www.auchan.fr/mon-charcutier-rosette-superieur/pr-C1602916,Rosette supérieur,,,,,,,,"782040,/,2030507820403",4.0,
https://www.auchan.fr/auchan-gratin-de-poulet-aux-legumes-du-soleil/pr-C1338342,Gratin de poulet aux légumes du soleil,,,,,,,,"942117,/,3596710487080",5.0,
https://www.auchan.fr/buche-choco-noisette-frozen/pr-C1739326,Bûche choco noisette frozen,,,,,,,,"647666,/,3585681125053",4.2,2.0
https://www.auchan.fr/mon-patissier-buche-creme-au-beurre-chocolat/pr-C1363892,Bûche crème au beurre chocolat,,,,,,,,"22710,/,2030500227100",4.0,
https://www.auchan.fr/auchan-gratin-de-macaroni-au-jambon/pr-C1217845,Gratin de macaroni au jambon,,,,,,,,"657047,/,3596710400935",3.0,2.0
https://www.auchan.fr/auchan-terroir-saucisses-knacks-d-alsace/pr-C1221013,Saucisses Knacks d'Alsace,,,,,,,,"21571,/,3596710209811",3.9,4.0
https://www.auchan.fr/herta-knacki-saucisse-de-poulet-fume-au-bois-de-hetre/pr-C1215571,Knacki saucisse de poulet fumé au bois de hêtre,,,,,,,,"14733,/,7613035289291",4.9,5.0
https://www.auchan.fr/auchan-knacks/pr-C1221160,Knacks,,,,,,,,"45365,/,3596710409983","4,3",4.0
